symbol,name,sector,exchange,yahoo_symbol
ABB,ABB India,Capital Goods,NSE,
BHEL,Bharat Heavy Electricals,Capital Goods,NSE,
CUMMINSIND,Cummins India,Capital Goods,NSE,
HAL,Hindustan Aeronautics,Capital Goods,NSE,
BEL,Bharat Electronics,Capital Goods,NSE,
ULTRACEMCO,UltraTech Cement,Construction Materials,NSE,
SHREECEM,Shree Cement,Construction Materials,NSE,
AMBUJACEM,Ambuja Cements,Construction Materials,NSE,
ACC,ACC Limited,Construction Materials,NSE,
GRASIM,Grasim Industries,Construction Materials,NSE,
DLF,DLF,Realty,NSE,
GODREJPROP,Godrej Properties,Realty,NSE,
OBEROIRLTY,Oberoi Realty,Realty,NSE,
PRESTIGE,Prestige Estates Projects,Realty,NSE,
BHARTIARTL,Bharti Airtel,Telecommunication,NSE,
IDEA,Vodafone Idea,Telecommunication,NSE,
INDUSTOWER,Indus Towers,Telecommunication,NSE,
ASIANPAINT,Asian Paints,Consumer Durables,NSE,
TITAN,Titan Company,Consumer Durables,NSE,
HAVELLS,Havells India,Consumer Durables,NSE,
VOLTAS,Voltas,Consumer Durables,NSE,
DIXON,Dixon Technologies,Consumer Durables,NSE,
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables,NSE,
TRENT,Trent,Consumer Services,NSE,
ETERNAL,Eternal (ex-Zomato),Consumer Services,NSE,
NAUKRI,Info Edge India,Consumer Services,NSE,
IRCTC,Indian Railway Catering & Tourism Corp,Consumer Services,NSE,
JUBLFOOD,Jubilant FoodWorks,Consumer Services,NSE,
UPL,UPL,Chemicals,NSE,
PIDILITIND,Pidilite Industries,Chemicals,NSE,
SRF,SRF,Chemicals,NSE,
AARTIIND,Aarti Industries,Chemicals,NSE,
DEEPAKNTR,Deepak Nitrite,Chemicals,NSE,
PVRINOX,PVR INOX,Media Entertainment & Publication,NSE,
ZEEL,Zee Entertainment Enterprises,Media Entertainment & Publication,NSE,
SUNTV,Sun TV Network,Media Entertainment & Publication,NSE,
ADANIENT,Adani Enterprises,Diversified,NSE,
ADANIPORTS,Adani Ports and Special Economic Zone,Services,NSE,
CONCOR,Container Corporation of India,Services,NSE,
INDIGO,InterGlobe Aviation,Services,NSE,
TRIDENT,Trident,Textiles,NSE,
PAGEIND,Page Industries,Textiles,NSE,
RAYMOND,Raymond,Textiles,NSE,
500325,Reliance Industries (BSE),Oil Gas & Consumable Fuels,BSE,500325.BO
532540,Tata Consultancy Services (BSE),Information Technology,BSE,532540.BO
500209,Infosys (BSE),Information Technology,BSE,500209.BO
500180,HDFC Bank (BSE),Financial Services,BSE,500180.BO
532174,ICICI Bank (BSE),Financial Services,BSE,532174.BO
500112,State Bank of India (BSE),Financial Services,BSE,500112.BO
500875,ITC Limited (BSE),Fast Moving Consumer Goods,BSE,500875.BO
500696,Hindustan Unilever (BSE),Fast Moving Consumer Goods,BSE,500696.BO
500510,Larsen & Toubro (BSE),Capital Goods,BSE,500510.BO
532500,Maruti Suzuki India (BSE),Automobile and Auto Components,BSE,532500.BO
524715,Sun Pharmaceutical Industries (BSE),Healthcare,BSE,524715.BO
500570,Tata Motors Passenger Vehicles (BSE),Automobile and Auto Components,BSE,500570.BO
544569,Tata Motors Commercial Vehicles (BSE),Automobile and Auto Components,BSE,544569.BO
507685,Wipro (BSE),Information Technology,BSE,507685.BO
500820,Asian Paints (BSE),Consumer Durables,BSE,500820.BO
500247,Kotak Mahindra Bank (BSE),Financial Services,BSE,500247.BO
532215,Axis Bank (BSE),Financial Services,BSE,532215.BO
532281,HCL Technologies (BSE),Information Technology,BSE,532281.BO
543320,Eternal ex-Zomato (BSE),Consumer Services,BSE,543320.BO
540005,LTM Limited ex-LTIMindtree (BSE),Information Technology,BSE,540005.BO
